facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,number_of_patients,number_of_patients_returned,footnote,start_date,end_date
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,128,17.4,14.6,20.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,334,20.7,18.0,23.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,484,16.8,14.6,19.5,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,76,-7.5,-25.6,14.5,75,24,,07/01/2021,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,285,13.3,0.1,27.9,230,96,,07/01/2021,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,205,36.9,21.7,54,184,63,,07/01/2021,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,1087,15.1,13.8,16.4,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,666,12.5,9.5,16.5,Not Applicable,Not Applicable,,01/01/2022,12/31/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2024,12/31/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2024,12/31/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,400,1,0.8,1.3,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,76,13.5,10.8,16.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,99,19.9,16.6,23.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,285,19.9,17.0,23.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES,MO,63301,ST. CHARLES,(636) 947-5000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,205,16.8,14.1,20.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,285,9.8,-1.4,21.6,280,81,,07/01/2021,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,634,3.9,-5.4,13.7,505,190,,07/01/2021,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,1194,-4.9,-10.9,1.7,981,269,,07/01/2021,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,3813,15.5,14.7,16.4,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,1291,11.6,9,14.8,Not Applicable,Not Applicable,,01/01/2022,12/31/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Worse Than the National Rate,394,14.9,12.4,17.6,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Better Than the National Rate,394,3.7,2.6,5,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1079,1.1,0.9,1.3,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,285,13.8,11.4,16.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,171,10.1,7.6,13.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,337,16.6,14.2,19.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,634,20.7,18.3,23.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,MO,64506,BUCHANAN,(816) 271-6000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,1194,14.8,13.3,16.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,208,17.4,1.9,34.3,162,60,,07/01/2021,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,EDAC_30_PN,Hospital return days for pneumonia patients,Fewer Days Than Average per 100 Discharges,216,-17.7,-28.4,-5.4,197,38,,07/01/2021,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,706,14.6,13.3,16.2,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,83,13.6,9.9,18.5,Not Applicable,Not Applicable,,01/01/2022,12/31/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,75,11.2,8.1,15.2,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,75,5,3.3,7.6,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,219,1,0.7,1.4,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,142,19.4,16.1,23.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,208,20.8,17.5,24.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65301,PETTIS,(660) 826-8833,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,216,14.6,12.3,17.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,56,19.2,-2.1,46.1,53,16,,07/01/2021,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,142,47.6,27.7,69.2,118,51,,07/01/2021,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,295,-2.1,-12.5,9.2,250,62,,07/01/2021,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,907,14.7,13.4,16.1,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,496,13.9,10.5,18.6,Not Applicable,Not Applicable,,01/01/2022,12/31/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2024,12/31/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2024,12/31/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,272,1,0.7,1.3,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,56,13.8,10.8,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,READM_30_CABG,Rate of readmission for CABG,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,112,19.6,16.2,23.5,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,142,22,18.5,26.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,33,4.2,2.5,7.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,MO,65109,COLE,(573) 681-3000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,295,15.3,12.8,18.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,90,-0.7,-19.1,21.4,83,25,,07/01/2021,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,337,26.1,12.7,40.1,277,110,,07/01/2021,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,311,36,23.4,50.1,271,89,,07/01/2021,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,1137,16.2,14.9,17.5,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,886,12.9,9.8,17.1,Not Applicable,Not Applicable,,01/01/2022,12/31/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,130,11.7,8.5,15.4,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,130,5.8,3.8,8.4,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,362,0.9,0.7,1.3,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,90,13.7,11.1,16.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,130,18.8,15.6,22.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,337,21.9,19.0,25.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,71,5.1,3.2,8.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,(573) 458-8899,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,311,17.9,15.3,20.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,ST. LOUIS,(314) 251-6000,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,195,6.4,-6.1,21.8,193,41,,07/01/2021,06/30/2024
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,ST. LOUIS,(314) 251-6000,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,905,3.8,-3.9,12.2,735,202,,07/01/2021,06/30/2024
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,ST. LOUIS,(314) 251-6000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,688,47.7,38.3,57.5,614,166,,07/01/2021,06/30/2024
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,ST. LOUIS,(314) 251-6000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,5270,15.1,14.3,16.0,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,ST. LOUIS,(314) 251-6000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,5582,11.4,9.3,14,Not Applicable,Not Applicable,,01/01/2022,12/31/2024
