cms_certification_number_ccn,facility_name,address_line_1,address_line_2,citytown,state,zip_code,countyparish,telephone_number,cms_region,measure_code,measure_name,score,footnote,measure_date_range
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_01_OBSERVED,CHC/GIP provided (% days),0.6,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_01_PERCENTILE,CHC/GIP provided (% days),85,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_02_DENOMINATOR,Gaps in nursing visits (% elections),535,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_02_OBSERVED,Gaps in nursing visits (% elections),45.6,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_02_PERCENTILE,Gaps in nursing visits (% elections),41,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_03_DENOMINATOR,Early live discharges (% live discharges),203,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_03_OBSERVED,Early live discharges (% live discharges),8.4,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_03_PERCENTILE,Early live discharges (% live discharges),64,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_04_DENOMINATOR,Late live discharges (% live discharges),203,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_04_OBSERVED,Late live discharges (% live discharges),35,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_04_PERCENTILE,Late live discharges (% live discharges),45,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_05_DENOMINATOR,"Burdensome transitions, Type 1(% live discharges)",203,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_05_OBSERVED,"Burdensome transitions, Type 1 (% live discharges)",8.9,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_05_PERCENTILE,"Burdensome transitions, Type 1 (% live discharges)",59,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_06_DENOMINATOR,"Burdensome transitions, Type 2(% live discharges)",203,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_06_OBSERVED,"Burdensome transitions, Type 2 (% live discharges)",2,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_06_PERCENTILE,"Burdensome transitions, Type 2 (% live discharges)",63,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_07_DENOMINATOR,Per-beneficiary spending (U.S. dollars $),997,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_07_OBSERVED,Per-beneficiary spending (U.S. dollars $),"15,154",,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_07_PERCENTILE,Per-beneficiary spending (U.S. dollars $),34,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_08_DENOMINATOR,Nurse care minutes per routine home care days (minutes),"91,426",,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_08_OBSERVED,Nurse care minutes per routine home care days (minutes),13.1,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_08_PERCENTILE,Nurse care minutes per routine home care days (minutes),59,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_09_DENOMINATOR,Skilled nursing minutes on weekends (% minutes),"1,201,860",,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_09_OBSERVED,Skilled nursing minutes on weekends (% minutes),8.5,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_09_PERCENTILE,Skilled nursing minutes on weekends (% minutes),57,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_10_DENOMINATOR,Visits near death (% decedents),756,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_10_OBSERVED,Visits near death (% decedents),95.2,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_10_PERCENTILE,Visits near death (% decedents),63,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Average_Daily_Census,Average Daily Census,124,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Provided_Home_Care_and_other,Provided Routine Home Care and other levels of care,Yes,,01/01/2022-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Provided_Home_Care_only,Provided Routine Home Care only,No,,01/01/2022-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Pct_Pts_w_Cancer,Percent of Patients with Cancer,20,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Pct_Pts_w_Dementia,Percent of Patients with Dementia,29,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Pct_Pts_w_Stroke,Percent of Patients with Stroke,7,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Pct_Pts_w_Circ_Heart_Disease,Percent of Patients with Circulatory/heart disease,13,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Pct_Pts_w_Resp_Disease,Percent of Patients with Respiratory disease,15,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Pct_Pts_w_other_conditions,Percent of Patients with Other Conditions,17,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Care_Provided_Home,Care Provided in Home,50,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Care_Provided_Assisted_Living,Care Provided in Assisted Living Facility,2,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Care_Provided_Nursing_Facility,Care Provided in Nursing Facility,46,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Care_Provided_Skilled_Nursing,Care Provided in Skilled Nursing Facility,0,14,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Care_Provided_Inpatient_Hospital,Care Provided in Inpatient Hospital Facility,1,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Care_Provided_Inpatient_Hospice,Care Provided in Inpatient Hospice Facility,0,14,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Care_Provided_other_locations,Care Provided in All other locations,0,14,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Bene_MA_Pct,Hospice served at least 1 patient enrolled in Medicare Advantage during one year,Yes,,01/01/2024-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,Bene_Dual_Pct,Hospice served at least 1 patient with both Medicare and Medicaid coverage during one year,Yes,,01/01/2024-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_001_01_DENOMINATOR,,34,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_001_01_OBSERVED,Hospice and Palliative Care Treatment Preferences,100,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_002_01_DENOMINATOR,,34,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_002_01_OBSERVED,Beliefs & Values Addressed (if desired by the patient),100,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_003_01_DENOMINATOR,,34,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_003_01_OBSERVED,Hospice and Palliative Care Pain Screening,100,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_004_01_DENOMINATOR,,27,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_004_01_OBSERVED,Hospice and Palliative Care Pain Assessment,100,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_005_01_DENOMINATOR,,34,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_005_01_OBSERVED,Hospice and Palliative Care Dyspnea Screening,100,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_006_01_DENOMINATOR,,17,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_006_01_OBSERVED,Hospice and Palliative Care Dyspnea Treatment,Not Available,1,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_007_01_DENOMINATOR,,3,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_007_01_OBSERVED,Patient Treated with an Opioid Who Are Given a Bowel Regimen,Not Available,1,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_008_01_DENOMINATOR,,34,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_008_01_OBSERVED,Hospice and Palliative Care Composite Process Measure,100,,07/01/2024-06/30/2025
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_011_01_DENOMINATOR,Hospice Visits in the Last Days of Life,30,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_011_01_OBSERVED,Hospice Visits in the Last Days of Life,70,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_00_OBSERVED,Hospice Care Index Overall Score,9,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_01_DENOMINATOR,CHC/GIP provided (% days),"1,691",,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_01_OBSERVED,CHC/GIP provided (% days),2.8,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_01_PERCENTILE,CHC/GIP provided (% days),96,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_02_DENOMINATOR,Gaps in nursing visits (% elections),18,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_02_OBSERVED,Gaps in nursing visits (% elections),16.7,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_02_PERCENTILE,Gaps in nursing visits (% elections),9,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_03_DENOMINATOR,Early live discharges (% live discharges),1,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_03_OBSERVED,Early live discharges (% live discharges),0,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_03_PERCENTILE,Early live discharges (% live discharges),19,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_04_DENOMINATOR,Late live discharges (% live discharges),1,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_04_OBSERVED,Late live discharges (% live discharges),100,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_04_PERCENTILE,Late live discharges (% live discharges),100,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_05_DENOMINATOR,"Burdensome transitions, Type 1(% live discharges)",1,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_05_OBSERVED,"Burdensome transitions, Type 1 (% live discharges)",0,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_05_PERCENTILE,"Burdensome transitions, Type 1 (% live discharges)",19,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_06_DENOMINATOR,"Burdensome transitions, Type 2(% live discharges)",1,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_06_OBSERVED,"Burdensome transitions, Type 2 (% live discharges)",0,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_06_PERCENTILE,"Burdensome transitions, Type 2 (% live discharges)",45,,01/01/2023-12/31/2024
261501,HOSPICE OF CARE,"1422 SOUTH SAM HOUSTON BLVD., SUITE 300",,HOUSTON,MO,65483,Texas,(417) 967-1279,7,H_012_07_DENOMINATOR,Per-beneficiary spending (U.S. dollars $),48,,01/01/2023-12/31/2024
